chain_key,parameter,mae,mse,global_mae,global_mse
chorus,chorus_depth,0.1698181404911338,0.04771721670103032,0.12609857320785522,0.03050144761800766
chorus,chorus_rate_hz,0.0823790248462834,0.013285677978162776,0.12609857320785522,0.03050144761800766
chorus__slapback_delay,chorus_depth,0.21455385852929598,0.06676083227268363,0.1756381243467331,0.04992974177002907
chorus__slapback_delay,chorus_rate_hz,0.12282145652540635,0.02506679006567529,0.1756381243467331,0.04992974177002907
chorus__slapback_delay,slapback_delay_delay_seconds,0.18455699438769183,0.056309586872914215,0.1756381243467331,0.04992974177002907
chorus__slapback_delay,slapback_delay_mix,0.1806201721582665,0.0515817658410086,0.1756381243467331,0.04992974177002907
distortion,distortion_drive_db,0.18608989715996163,0.05483113423301148,0.1860899031162262,0.0548311322927475
distortion__chorus,chorus_depth,0.18200967539731971,0.05343432036731575,0.16453734040260315,0.04668769985437393
distortion__chorus,chorus_rate_hz,0.09514745669077261,0.017559384794609594,0.16453734040260315,0.04668769985437393
distortion__chorus,distortion_drive_db,0.2164548598335549,0.06906939599271836,0.16453734040260315,0.04668769985437393
distortion__chorus__slapback_delay,chorus_depth,0.2182877851697981,0.06947575705926837,0.19960032403469086,0.06169348582625389
distortion__chorus__slapback_delay,chorus_rate_hz,0.14347899673590195,0.032931318414322695,0.19960032403469086,0.06169348582625389
distortion__chorus__slapback_delay,distortion_drive_db,0.24147687630601727,0.0863213645137791,0.19960032403469086,0.06169348582625389
distortion__chorus__slapback_delay,slapback_delay_delay_seconds,0.19291296152134854,0.05882013960209598,0.19960032403469086,0.06169348582625389
distortion__chorus__slapback_delay,slapback_delay_mix,0.20184499197181854,0.060918859200064644,0.19960032403469086,0.06169348582625389
feedback_delay,feedback_delay_delay_seconds,0.15139893342025712,0.03974641704759729,0.1864599734544754,0.055250294506549835
feedback_delay,feedback_delay_feedback,0.22483230017558395,0.0723916253300182,0.1864599734544754,0.055250294506549835
feedback_delay,feedback_delay_mix,0.1831486856609185,0.053612856113558094,0.1864599734544754,0.055250294506549835
flanger,flanger_centre_delay_ms,0.18815099276197153,0.054987979609758875,0.17222996056079865,0.04892539978027344
flanger,flanger_depth,0.17089884213328058,0.0472544030342997,0.17222996056079865,0.04892539978027344
flanger,flanger_feedback,0.20150278335665592,0.059940071924193664,0.17222996056079865,0.04892539978027344
flanger,flanger_rate_hz,0.12836716374888835,0.0335191357890325,0.17222996056079865,0.04892539978027344
phaser,phaser_depth,0.14465354043225684,0.03865143417054646,0.12856388092041016,0.033049531280994415
phaser,phaser_rate_hz,0.11247422902525028,0.02744763122925974,0.12856388092041016,0.033049531280994415
reverb,reverb_room_size,0.14779824330281924,0.03538759369191741,0.14779824018478394,0.035387590527534485
slapback_delay,slapback_delay_delay_seconds,0.16160710576765008,0.045654654529772055,0.156367227435112,0.042155858129262924
slapback_delay,slapback_delay_mix,0.1511273383234506,0.03865705661043589,0.156367227435112,0.042155858129262924
vibrato,vibrato_depth,0.15827311600039268,0.0442996903232394,0.1311413049697876,0.034926217049360275
vibrato,vibrato_rate_hz,0.10400951968609401,0.02555274894896435,0.1311413049697876,0.034926217049360275
