chain_key,chain_length,effect_order,feature,n_train,n_test,output_dim,mae,mse
chorus,1,"[""chorus""]",GFCC40,17920,4480,2,0.07254581153392792,0.013771447353065014
chorus__slapback_delay,2,"[""chorus"", ""slapback_delay""]",GFCC40,17920,4480,4,0.13111098110675812,0.0338236540555954
distortion,1,"[""distortion""]",GFCC40,17920,4480,1,0.04590751603245735,0.0032822208013385534
distortion__chorus,2,"[""distortion"", ""chorus""]",GFCC40,17920,4480,3,0.07792223244905472,0.014089121483266354
distortion__chorus__slapback_delay,3,"[""distortion"", ""chorus"", ""slapback_delay""]",GFCC40,17920,4480,5,0.12403794378042221,0.030180824920535088
feedback_delay,1,"[""feedback_delay""]",GFCC40,17920,4480,3,0.1545567810535431,0.044963885098695755
flanger,1,"[""flanger""]",GFCC40,17920,4480,4,0.12659427523612976,0.031589772552251816
phaser,1,"[""phaser""]",GFCC40,17920,4480,2,0.04750450700521469,0.007316144648939371
reverb,1,"[""reverb""]",GFCC40,17920,4480,1,0.09752894192934036,0.016460806131362915
slapback_delay,1,"[""slapback_delay""]",GFCC40,17920,4480,2,0.10481186956167221,0.02494349144399166
vibrato,1,"[""vibrato""]",GFCC40,17920,4480,2,0.1376737803220749,0.04231233894824982
