chain_key,parameter,mae,mse,global_mae,global_mse
chorus,chorus_depth,0.10116871527221259,0.02254261873535156,0.07254581153392792,0.013771447353065014
chorus,chorus_rate_hz,0.043922919942601925,0.005000274738176439,0.07254581153392792,0.013771447353065014
chorus__slapback_delay,chorus_depth,0.15914143645445944,0.044554101478032036,0.13111098110675812,0.0338236540555954
chorus__slapback_delay,chorus_rate_hz,0.08573357790063077,0.013555970857808694,0.13111098110675812,0.0338236540555954
chorus__slapback_delay,slapback_delay_delay_seconds,0.16702237002077058,0.05175285002244031,0.13111098110675812,0.0338236540555954
chorus__slapback_delay,slapback_delay_mix,0.1125464973372045,0.02543169147221271,0.13111098110675812,0.0338236540555954
distortion,distortion_drive_db,0.04590751400457711,0.0032822207231861748,0.04590751603245735,0.0032822208013385534
distortion__chorus,chorus_depth,0.11435248297878502,0.028156994842377266,0.07792223244905472,0.014089121483266354
distortion__chorus,chorus_rate_hz,0.053156495342009946,0.006589046548628986,0.07792223244905472,0.014089121483266354
distortion__chorus,distortion_drive_db,0.06625771684938563,0.007521320634732983,0.07792223244905472,0.014089121483266354
distortion__chorus__slapback_delay,chorus_depth,0.1628384641278168,0.045216756169684034,0.12403794378042221,0.030180824920535088
distortion__chorus__slapback_delay,chorus_rate_hz,0.0962950236710396,0.016073848761493,0.12403794378042221,0.030180824920535088
distortion__chorus__slapback_delay,distortion_drive_db,0.08094896770189085,0.010855199669469653,0.12403794378042221,0.030180824920535088
distortion__chorus__slapback_delay,slapback_delay_delay_seconds,0.17745773593232864,0.057172698267064205,0.12403794378042221,0.030180824920535088
distortion__chorus__slapback_delay,slapback_delay_mix,0.10264953828611852,0.021585616050171303,0.12403794378042221,0.030180824920535088
feedback_delay,feedback_delay_delay_seconds,0.14046426890293204,0.038351538475685905,0.1545567810535431,0.044963885098695755
feedback_delay,feedback_delay_feedback,0.21539031886229948,0.07409554451887371,0.1545567810535431,0.044963885098695755
feedback_delay,feedback_delay_mix,0.10781573230702374,0.022444571724645427,0.1545567810535431,0.044963885098695755
flanger,flanger_centre_delay_ms,0.14791425034331301,0.03823213050687728,0.12659427523612976,0.031589772552251816
flanger,flanger_depth,0.12496791986114775,0.030354484396023194,0.12659427523612976,0.031589772552251816
flanger,flanger_feedback,0.13548707337929175,0.03287625809613407,0.12659427523612976,0.031589772552251816
flanger,flanger_rate_hz,0.09800781212783737,0.024896227740499707,0.12659427523612976,0.031589772552251816
phaser,phaser_depth,0.05406098192657802,0.007506342943962101,0.04750450700521469,0.007316144648939371
phaser,phaser_rate_hz,0.040948028192259955,0.007125946087732008,0.04750450700521469,0.007316144648939371
reverb,reverb_room_size,0.09752893980328119,0.01646080552548688,0.09752894192934036,0.016460806131362915
slapback_delay,slapback_delay_delay_seconds,0.1340829982559626,0.03760897912187338,0.10481186956167221,0.02494349144399166
slapback_delay,slapback_delay_mix,0.07554075294349656,0.012278000719585479,0.10481186956167221,0.02494349144399166
vibrato,vibrato_depth,0.16763766533292385,0.054256523906573366,0.1376737803220749,0.04231233894824982
vibrato,vibrato_rate_hz,0.10770990421200882,0.030368152157908432,0.1376737803220749,0.04231233894824982
