chain_key,chain_length,effect_order,feature,n_train,n_test,output_dim,mae,mse
chorus,1,"[""chorus""]",MFCC40,17920,4480,2,0.12903082370758057,0.03312864527106285
chorus__slapback_delay,2,"[""chorus"", ""slapback_delay""]",MFCC40,17920,4480,4,0.15068797767162323,0.040917444974184036
distortion,1,"[""distortion""]",MFCC40,17920,4480,1,0.038381557911634445,0.0026720166206359863
distortion__chorus,2,"[""distortion"", ""chorus""]",MFCC40,17920,4480,3,0.11900597810745239,0.028606608510017395
distortion__chorus__slapback_delay,3,"[""distortion"", ""chorus"", ""slapback_delay""]",MFCC40,17920,4480,5,0.1413813680410385,0.03701101243495941
feedback_delay,1,"[""feedback_delay""]",MFCC40,17920,4480,3,0.14872398972511292,0.04051682725548744
flanger,1,"[""flanger""]",MFCC40,17920,4480,4,0.10571960359811783,0.023939315229654312
phaser,1,"[""phaser""]",MFCC40,17920,4480,2,0.037830278277397156,0.004310199990868568
reverb,1,"[""reverb""]",MFCC40,17920,4480,1,0.06449422985315323,0.006930842529982328
slapback_delay,1,"[""slapback_delay""]",MFCC40,17920,4480,2,0.09435483813285828,0.018446829169988632
vibrato,1,"[""vibrato""]",MFCC40,17920,4480,2,0.1608656793832779,0.05040568858385086
